id,title,main_story,main_plus_extras,completionist,developers,publishers,platforms,genres
6031,Might and Magic VII: For Blood and Honor,50.5,59,83.5,New World Computing,3DO,PC,Role-Playing
6032,Might and Magic VIII: Day of the Destroyer,30.5,38.5,44,New World Computing,"The 3DO Company, Sold-Out Software, Imagineer",PC,Role-Playing
12959,Might and Magic X: Legacy,41.5,57,69,Limbic Entertainment,Ubisoft,PC,"First-Person, Turn-Based, Role-Playing"
6033,Might and Magic: Book I,45,53,91,New World Computing,New World Computing,"NES, PC",Role-Playing
6034,Might and Magic: Clash of Heroes,24,30,36.5,Capybara Games,Ubisoft Entertainment,"Mobile, Nintendo DS, PC, PlayStation 3, Xbox 360, Xbox One","Adventure, Puzzle"
6020,Might and Magic: Heroes VI,83,90.5,161,Black Hole Entertainment,Ubisoft,PC,"Turn-Based, Strategy"
18586,Might and Magic: World of Xeen,38,49.5,65,New World Computing,New World Computing,PC,Role-Playing
20843,Mighty GUNVOLT,0.683333333,1.5,2,"Inti Creates, 8-4",Inti Creates,"Nintendo 3DS, PC","Action, Platform"
46489,Mighty Gunvolt Burst,3,5,7.5,INTI CREATES,INTI CREATES,"Nintendo 3DS, Nintendo Switch",Action
11682,Mighty Milky Way,4.5,6.5,8.5,WayForward Technologies,WayForward Technologies,"Nintendo 3DS, Nintendo DS","Platform, Puzzle"
17162,Mighty Morphin Power Rangers (Sega CD),0.416666667,0.95,1,Sega TruVideo,Sega,Sega CD,"Action, Adventure"
14197,Mighty No. 9,5,7.5,12,"Comcept, Inti Creates",Deep Silver,"PC, PlayStation 4, Wii U, Xbox One","Action, Platform"
6048,Mighty Switch Force!,3,4,6.5,WayForward Technologies,WayForward Technologies,"Nintendo 3DS, Wii U","Action, Puzzle"
11813,Mighty Switch Force! 2,3,4.5,6,WayForward Technologies,WayForward Technologies,"Nintendo 3DS, Wii U","Action, Platform, Puzzle"
26695,Mighty Switch Force! Hose It Down!,1,2,2.5,WayForward,WayForward,PC,"Action, Puzzle"
6050,Mighty Switch Force! Hyper Drive Edition,3,6,12.5,WayForward Technologies,WayForward,"PC, Wii U","Action, Puzzle"
6052,Mike Tyson's Punch-Out!!,3.5,4,5,Nintendo R&D3,Nintendo,"NES/Famicom, Nintendo 3DS, Nintendo Switch, Wii, Wii U",Sports
42712,Milkmaid of the Milky Way,2,2,2,Mattis Folkestad,Machineboy,"iOS, PC",Adventure
18770,Millionaire Manor,2,2.5,6,Gogii Games,Strategy First,PC,Adventure
6062,Mimana Iyar Chronicle,16.5,17,20,"Kogado Studio, Premium Agency","NA: Aksys Games, JP: GungHo Works",PSP,Role-Playing
37688,Mimpi Dreams,1.5,2,6,Silicon Jelly,Silicon Jelly,"Mobile, PC","Platform, Puzzle"
26098,Mind Snares: Alice's Journey,3,3,3.5,World-Loom,Artifex Mundi,"Linux, PC","Hidden Object, Survival Horror"
18939,Mind Zero,30.5,68.5,77,"Acquire, ZeroDiv",Aksys Games,"PC, PlayStation Vita","First-Person, Role-Playing"
20493,Mind: Path to Thalamus,4,5,6,Carlos Coronado,Carlos Coronado,PC,"First-Person, Puzzle"
47324,Minecraft: Story Mode - Season Two,9,10,10,Telltale Games,Telltale Games,"PC, PlayStation 4, Xbox One","Third-Person, Adventure"
6073,Minesweeper (Windows),0.533333333,0.916666667,1.5,"Microsoft, Oberon Games (Vista)",Microsoft,PC,Puzzle
45585,Mini Ghost,3,4,5,@unepic_fran,@unepic_fran,PC,Action
36526,Mini Mario & Friends amiibo Challenge,1,7,15.5,Nintendo,Nintendo,"Nintendo 3DS, Wii U","Platform, Puzzle"
11870,Mini Motor Racing Evo,6,9.5,14,The Binary Mill,The Binary Mill,PC,Racing
